Автор,Название
Оливер Сакс,Антрополог на Марсе
,Галлюцинации
,"Человек, который принял жену за шляпу"
"Оскар Хартманн",Просто делай! Делай просто!
Петр Авен,Время Березовского
Питер Тиль,От нуля к единице
Пол Грэм,Хакеры и художники
Райан Норт,Как изобрести все
Ричард Брэнсон,Берись и делай!
Ричард Докинз,Бог как иллюзия
,Слепой часовщик
,Эгоистичный ген
Ричард Шелл,Стратегия успеха
Роберт Гловер,Хватит быть славным парнем
Роберт Кийосаки,"Богатый Папа, Бедный Папа"
Ролан Барт,Смерть автора
Роман Трахтенберг,Вы хотите стать звездой?
Рэй Далио,Принципы
Сергей Алексашенко,Русское экономическое чудо: что пошло не так?
Сергей Волков,Почему РФ - не Россия
Сергей Гуриев,Мифы экономики
Скотт Адамс,Как потерпеть неудачу и добиться успеха
Стивен Дабнер и Стивен Левитт,Фрикономика
,Суперфрикономика
Стивен Кови,Семь навыков высокоэффективных людей
Стивен Ландсбург,Экономист на диване
Стивен Хокинг,Высший замысел
,Краткая история времени
Тони Шварц,"То, как мы работаем - не работает"
Уильям Бернстайн,Манифест инвестора
Уильям Пауэлл,Поваренная книга анархиста
Уолтер Айзексон,Инноваторы
,Стив Джобс
Уоррен Баффетт,"Эссе об инвестициях, корпоративных финансах"
Филип Котлер,Основы маркетинга
Фредерик Бастиа,Что видно и чего не видно
Фредерик Лалу,Открывая организации будущего
Ха-Джун Чанг,Как устроена экономика
Чарлз Дарвин,Происхождение видов
Эдит Ева Эгер,Выбор
Элияху Голдратт,Цель
Эрик Рис,Бизнес с нуля
Юваль Ной Харари,Sapiens
,Homo Deus
,21 урок для XXI века
Юлия Гиппенрейтер,Самая важная книга для родителей
Юрий Лотман,"Комментарии к роману ""Евгений Онегин"""
Адольф Гитлер,Моя борьба
Александр Дугин,Ноомахия
,Поп-культура и знаки времени
,Четвертая политическая теория
Аристотель,Категории
,Логика
,Метафизика
,Никомахова этика
,О природе
,Риторика и поэтика
,Физика
,Этика и политика
Артур Шопенгауэр,Афоризмы житейской мудрости
,Мир как воля и представление
Бенедикт Спиноза,Богословско-политический трактат
,"О Боге, человеке и его счастье"
Бенито Муссолини,Доктрина фашизма
,Философия силы
Бертран Рассел,История западной философии
Библия,Детская Библия
,Ветхий завет
,Новый завет
Владимир Ленин,Государство и революция
Вольтер,Философский словарь
Вьяса,Бхагавадгита
Гай Юлий Цезарь,Записки о Галльской войне
Гераклит,О природе
Ги Дебор,Общество спектакля
Джон Локк,Два трактата о правлении
,Опыт о человеческом разумении
Джордж Беркли,Трактат о принципах человеческого знания
Дмитрий Галковский,Бесконечный тупик
Дэвид Юм,Трактат о человеческой природе
Жан Бодрийяр,Симулякры и симуляция
Жак Деррида,О грамматологии
,Письмо к японскому другу
Зигмунд Фрейд,Введение в психоанализ
Иммануил Кант,Критика чистого разума
Иосиф Сталин,Экономические проблемы социализма в СССР
Исаак Ньютон,Математические начала натуральной философии
Карл Маркс,Капитал
,Манифест Коммунистической партии
Конфуций,Беседы и суждения
Лао-цзы,Дао дэ цзин
Лев Троцкий,Моя жизнь
,Перманентная революция
Майкл Льюис,Отмененный проект
Майкл Паттон,Философия. Краткий курс в комиксах
Макс Вебер,Протестантская этика и дух капитализма
Марк Туллий Цицерон,Катилинарии
,О государстве
,Об ораторе
Мартин Хайдеггер,Бытие и время
Михаил Бакунин,Государственность и анархия
Михаил Восленский,Номенклатура
Михаил Ходорковский,Как убить дракона?
Моше Гесс,Рим и Иерусалим
Мухаммед,Коран
Мюррей Ротбард,Анатомия Государства
,Государство и деньги
,К новой свободе: либертарианский манифест
Никколо Макиавелли,Государь
Освальд Шпенглер,Закат Европы
Падмасамбхава,Тибетская книга мертвых
Петр Кропоткин,"Анархия, ее философия, ее идеал"
Платон,Апология Сократа
,Государство
,Пир
Пол Клейман,Философия. Краткий курс
Рене Декарт,Размышления о первой философии
Снорри Стурлусон,Старшая Эдда
,Старшая Эдда
,Круг Земной
Сунь-цзы,Искусство войны
Теодор Качински,Индустриальное общество и его будущее
Томас Гоббс,Левиафан
Томмазо Кампанелла,Город Солнца
Фридрих Ницше,Антихристианин
,Веселая наука
,Воля к власти
,Греческое государство
,Об истине и лжи
,Олимпийское соревнование
,По ту сторону добра и зла
,Так говорил Заратустра
Фридрих фон Хайек,Дорога к рабству
Ханс-Херман Хоппе,Демократия - низвергнутый бог
Эдмунд Берк,Размышления о Французской революции
Юдзан Дайдодзи,Бусидо
